"","text"
"119","mechamato movie esok dah start kat wayang"
"120","mari lestarikan budaya indonesia yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   mari  deklarasikan dukungan  ganjar pranowo  pilpres   kabupaten nganjuk jawa timur  jumat desember dukunganuntukganjar "
"121","yuk   lestarikan budaya  negeri     nganjuk  nih dateng  workshop pembuatan wayang kulit jumat desember  kab nganjuk jawa timur milenial dukung ganjar dukunganuntukganjar "
"122","gas yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   kabupaten nganjuk jawa timur  jumat desember dukunganuntukganjar "
"123","ayok  seimbangkan  budaya     melestarikan budaya indonesia yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   kabupaten nganjuk jawa timur  jumat desember dukunganuntukganjar "
"124"," nganjuk tanggal desember  diadakan pembuatan wayang kulit dukunganuntukganjar "
"125","mari  lestarikan milenial indonesia dg lestarikan budaya unutk negri jumat deswmber dg kegiatan deklarasi komjnikasi pemuda penggiat seni wayang kulit dukunganuntukganjar "
"126","  nganjuk jatim  ganjar adakan acara deklarasi komunitas pemuda pemggiat seni wayang kulit lho jgn lupa ya desember dukunganuntukganjar "
"127","mari lestarikan budaya indonesia yuk cari tau   wayang kulit  kabupaten nganjuk   kabupaten nganjuk jawa timur  jumat desember yok  lestarikan budaya indonesia dukunganuntukganjar "
"128","lepas settle  kelate  dah  start ikat perut    nak makan sedap as always wayang  no no okieshhhhhh"
"129","kaum muda milenial indonesia yuk lestarikan budaya  negeri catat tanggalnya jumat desember   workshop pembuatan wayang kulit dukunganuntukganjar "
"130","lestarikan budaya  negeri ayo sahabat ganjar   kaum milenial ikutan deklarasi komunitas pemuda penggiat seni wayang dukunganuntukganjar "
"131","pengin tau pembuatan wayang kulitayo   acara milenial indonesia  sahabat ganjar lestarikan budaya bangsa dukunganuntukganjar "
"132"," pembuatan wayang kulit  nganjuk seru banget sih  mah ayooo dukunganuntukganjar "
"133","  banget nih tau proses pembuatan wayang kulit  kabupaten nganjuk dukunganuntukganjar "
"134","yokk lestarikan budaya indonesia kepoin  pembuatan wayang kulit  kabupaten nganjuk  jumat desember ya guys dukunganuntukganjar "
"135","  budaya asli indonesia hilang termakan  kerasnya jaman ikutilah workshop pembuatan wayang kulit  kab nganjuk dukunganuntukganjar "
"136","milenial indonesia  ikutan deh workshop pembuatan wayang kulit loh  menambah ilmu wawasan nih dukunganuntukganjar "
"137","haiii milenial indonesia    lestarikan budaya  negeri nih ayyoo hadiri kegiatan deklarasi komunitas pemuda penggiat seni wayang kulit  workshop pembuatan wayang kulit yg  dilaksanakan  nganjuk nih dukunganuntukganjar "
"138","keempat  kabupaten najuk jumat desember mari lestarikan budaya indonesia yuk kepoin pembuatan wayang kulit mensosialisasikan pengendalian hama ramah lingkungan   deklarasi dukungan  ganjar pranowo  pilpres dukunganuntukganjar "
"139","drazmanibrahim wayang jelah kau rakyat nak   yg kau nak  utk selesaikan  rakyat  nak tengok kau  control macho  wartawan   press statement"
"140","mari  lestarikan budaya negri kitayuk  intip  pembuatan seni wayang kulit dukunganuntukganjar jumat desember kab ngajuk jawatimur "
"141","seni wayang kulit    hilang  indonesia  dukunganuntukganjar "
"142"," kegiatan positif  dukunganuntukganjar  nganjuk deklarasi komunitas pemudapenggiat seni wayang "
"143","mari lestarikan budaya indonesia yuk kepoin pembuatan wayang kulit  kabupaten nganjuk   mari  deklarasikan dukungan  ganjar pranowo  pilpres   terlewatkan ya sahabatganjar ganjaruntukindonesia dukunganuntukganjar "
"144","deklarasi komunitas pemuda penggiat seni wayang kulit nih    mendukung  ganjar dukunganuntukganjar "
"145","  punah ya   melestarikan budaya seni wayang kulit dukunganuntukganjar "
"146","milenial indonesia lestarikan budaya  negeri jumat desember kabupaten nganjuk jawa timur rangkaian kegiatan deklarasi komunitas pemuda penggiat seni wayang kulit workshop pembuatan wayang kulit dukunganuntukganjar "
